DateTime,Actual,Predicted
2021-03-12,121.02999877929688,121.62464
2021-03-15,123.98999786376953,121.30501
2021-03-16,125.56999969482422,121.224815
2021-03-17,124.76000213623047,121.37011
2021-03-18,120.52999877929688,121.61115
2021-03-19,119.98999786376953,121.69933
2021-03-22,123.38999938964844,121.68967
2021-03-23,122.54000091552734,121.79166
2021-03-24,120.08999633789062,121.89168
2021-03-25,120.58999633789062,121.869835
2021-03-26,121.20999908447266,121.81354
2021-03-29,121.38999938964844,121.763275
2021-03-30,119.9000015258789,121.723724
2021-03-31,122.1500015258789,121.61614
2021-04-01,123.0,121.59667
2021-04-05,125.9000015258789,121.662544
2021-04-06,126.20999908447266,121.9273
2021-04-07,127.9000015258789,122.30778
2021-04-08,130.36000061035156,122.83594
2021-04-09,133.0,123.55246
2021-04-12,131.24000549316406,124.478134
2021-04-13,134.42999267578125,125.38889
2021-04-14,132.02999877929688,126.42632
2021-04-15,134.5,127.346054
2021-04-16,134.16000366210938,128.28987
2021-04-19,134.83999633789062,129.16133
2021-04-20,133.11000061035156,129.9784
2021-04-21,133.5,130.62202
2021-04-22,131.94000244140625,131.15108
2021-04-23,134.32000732421875,131.49016
2021-04-26,134.72000122070312,131.81786
2021-04-27,134.38999938964844,132.11603
2021-04-28,133.5800018310547,132.35788
2021-04-29,133.47999572753906,132.51025
2021-04-30,131.4600067138672,132.59528
2021-05-03,132.5399932861328,132.52608
2021-05-04,127.8499984741211,132.42822
2021-05-05,128.10000610351562,132.06299
2021-05-06,129.74000549316406,131.59062
2021-05-07,130.2100067138672,131.14507
2021-05-10,126.8499984741211,130.74545
2021-05-11,125.91000366210938,130.22026
2021-05-12,122.7699966430664,129.61911
2021-05-13,124.97000122070312,128.84091
2021-05-14,127.44999694824219,128.11958
2021-05-17,126.2699966430664,127.57551
2021-05-18,124.8499984741211,127.095665
2021-05-19,124.69000244140625,126.623344
2021-05-20,127.30999755859375,126.18466
2021-05-21,125.43000030517578,125.9258
2021-05-24,127.0999984741211,125.68217
2021-05-25,126.9000015258789,125.566216
2021-05-26,126.8499984741211,125.518135
2021-05-27,125.27999877929688,125.51975
2021-05-28,124.61000061035156,125.47653
2021-06-01,124.27999877929688,125.38566
2021-06-02,125.05999755859375,125.25566
2021-06-03,123.54000091552734,125.14801
2021-06-04,125.88999938964844,124.975945
2021-06-07,125.9000015258789,124.90358
2021-06-08,126.73999786376953,124.88202
2021-06-09,127.12999725341797,124.94108
2021-06-10,126.11000061035156,125.0659
2021-06-11,127.3499984741211,125.175125
2021-06-14,130.47999572753906,125.34239
2021-06-15,129.63999938964844,125.690674
2021-06-16,130.14999389648438,126.07489
2021-06-17,131.7899932861328,126.50121
2021-06-18,130.4600067138672,127.015465
2021-06-21,132.3000030517578,127.48151
2021-06-22,133.97999572753906,127.99958
2021-06-23,133.6999969482422,128.59581
2021-06-24,133.41000366210938,129.18633
2021-06-25,133.11000061035156,129.7325
2021-06-28,134.77999877929688,130.2086
2021-06-29,136.3300018310547,130.7008
2021-06-30,136.9600067138672,131.24161
2021-07-01,137.27000427246094,131.80542
2021-07-02,139.9600067138672,132.36682
2021-07-06,142.02000427246094,133.03201
2021-07-07,144.57000732421875,133.81166
2021-07-08,143.24000549316406,134.73885
2021-07-09,145.11000061035156,135.6259
2021-07-12,144.5,136.54938
2021-07-13,145.63999938964844,137.39857
2021-07-14,149.14999389648438,138.21704
2021-07-15,148.47999572753906,139.13583
2021-07-16,146.38999938964844,140.00249
2021-07-19,142.4499969482422,140.69139
2021-07-20,146.14999389648438,141.04765
2021-07-21,145.39999389648438,141.38542
2021-07-22,146.8000030517578,141.60999
2021-07-23,148.55999755859375,141.8236
2021-07-26,148.99000549316406,142.08923
2021-07-27,146.77000427246094,142.37683
2021-07-28,144.97999572753906,142.54756
2021-07-29,145.63999938964844,142.56407
2021-07-30,145.86000061035156,142.52493
2021-08-02,145.52000427246094,142.45015
2021-08-03,147.36000061035156,142.33327
2021-08-04,146.9499969482422,142.28818
2021-08-05,147.05999755859375,142.25125
2021-08-06,146.13999938964844,142.2315
2021-08-09,146.08999633789062,142.17601
2021-08-10,145.60000610351562,142.10583
2021-08-11,145.86000061035156,142.00389
2021-08-12,148.88999938964844,141.90292
2021-08-13,149.10000610351562,141.95564
2021-08-16,151.1199951171875,142.0858
2021-08-17,150.19000244140625,142.36197
2021-08-18,146.36000061035156,142.65399
2021-08-19,146.6999969482422,142.76212
2021-08-20,148.19000244140625,142.79993
2021-08-23,149.7100067138672,142.85599
2021-08-24,149.6199951171875,142.97939
2021-08-25,148.36000061035156,143.12062
2021-08-26,147.5399932861328,143.2056
2021-08-27,148.60000610351562,143.22145
2021-08-30,153.1199951171875,143.25082
2021-08-31,151.8300018310547,143.50034
2021-09-01,152.50999450683594,143.76982
2021-09-02,153.64999389648438,144.09024
2021-09-03,154.3000030517578,144.47739
2021-09-07,156.69000244140625,144.90874
2021-09-08,155.11000061035156,145.45918
2021-09-09,154.07000732421875,145.95517
2021-09-10,148.97000122070312,146.35649
2021-09-13,149.5500030517578,146.43158
2021-09-14,148.1199951171875,146.36874
2021-09-15,149.02999877929688,146.13332
2021-09-16,148.7899932861328,145.85257
2021-09-17,146.05999755859375,145.53049
2021-09-20,142.94000244140625,145.06265
2021-09-21,143.42999267578125,144.39468
2021-09-22,145.85000610351562,143.68193
2021-09-23,146.8300018310547,143.08646
2021-09-24,146.9199981689453,142.62093
2021-09-27,145.3699951171875,142.26205
2021-09-28,141.91000366210938,141.91652
2021-09-29,142.8300018310547,141.44275
